SHIP CODE,DEPARTURE DATE,CRUISE ID,WEEK DAY,SECTOR,CABIN CATEGORY,CABIN GROUP,CABIN BLOCKED,CABIN SOLD,CABIN AVAILABLE,PAX COUNT
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,AC,FP,0,0,4,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,AS,FP,0,0,1,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,AT,FP,0,0,1,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,BA,FP,0,0,49,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,CA,FP,0,0,38,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,CB,FP,0,0,92,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,CC,FP,0,0,84,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,CD,FP,0,0,88,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,CF,FP,0,0,6,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,CG,FP,0,0,75,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,CH,FP,0,0,46,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,DA,FP,0,0,20,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,DB,FP,0,0,13,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,DC,FP,0,0,36,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,DD,FP,0,0,26,0
SSQ,01/15/2018,SQ01180115,Mon,HKHKG-HKHKG,DE,FP,0,0,12,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,AA,FP,0,0,12,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,AB,FP,0,0,4,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,AC,FP,0,0,4,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,AS,FP,0,0,1,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,AT,FP,0,0,1,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,BA,FP,0,0,49,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,CA,FP,0,0,6,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,CB,FP,0,0,69,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,CC,FP,0,0,18,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,CD,FP,0,0,87,0
SSQ,01/16/2018,SQ01180116,Tue,HKHKG-HKHKG,CF,FP,0,0,0,0
TPA,06/04/2018,TP01180604,Mon,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/05/2018,TP01180605,Tue,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/05/2018,TP01180605,Tue,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/06/2018,TP01180606,Wed,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/06/2018,TP01180606,Wed,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/07/2018,TP01180607,Thu,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/07/2018,TP01180607,Thu,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/08/2018,TP01180608,Fri,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/08/2018,TP01180608,Fri,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/09/2018,TP01180609,Sat,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/09/2018,TP01180609,Sat,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/10/2018,TP01180610,Sun,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/10/2018,TP01180610,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/11/2018,TP01180611,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/11/2018,TP01180611,Mon,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/12/2018,TP01180612,Tue,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/12/2018,TP01180612,Tue,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/13/2018,TP01180613,Wed,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/13/2018,TP01180613,Wed,MYPEN-MYPEN,E2,FP,0,0,1,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,AT,FP,0,0,1,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,BA,FP,0,0,0,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,CA,FP,0,0,0,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,CB,FP,0,0,47,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,CC,FP,0,0,78,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,CD,FP,0,0,88,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,CF,FP,0,0,0,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,CG,FP,0,0,56,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,CH,FP,0,0,6,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,DA,FP,0,0,0,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,DB,FP,0,0,0,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,DC,FP,0,0,26,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,DD,FP,0,0,4,0
SSQ,01/20/2018,SQ01180120,Sat,HKHKG-HKHKG,DE,FP,0,0,12,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,AA,FP,0,0,12,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,AB,FP,0,0,4,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,AC,FP,0,0,6,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,AS,FP,0,0,1,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,AT,FP,0,0,1,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,BA,FP,0,0,61,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,CA,FP,0,0,62,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,CB,FP,0,0,98,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,CC,FP,0,0,84,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,CD,FP,0,0,88,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,CF,FP,0,0,15,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,CG,FP,0,0,25,0
SSQ,02/07/2018,SQ02180207,Wed,HKHKG-TWKEL,CH,FP,0,0,54,0
TPA,06/14/2018,TP01180614,Thu,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/14/2018,TP01180614,Thu,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/15/2018,TP01180615,Fri,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/15/2018,TP01180615,Fri,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/16/2018,TP01180616,Sat,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/16/2018,TP01180616,Sat,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/17/2018,TP01180617,Sun,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/17/2018,TP01180617,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/18/2018,TP01180618,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/18/2018,TP01180618,Mon,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/19/2018,TP01180619,Tue,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/19/2018,TP01180619,Tue,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/20/2018,TP01180620,Wed,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/20/2018,TP01180620,Wed,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/21/2018,TP01180621,Thu,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/21/2018,TP01180621,Thu,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/22/2018,TP01180622,Fri,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/22/2018,TP01180622,Fri,MYPEN-MYPEN,E2,FP,0,0,1,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,DGV,FP,0,0,0,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,DSS,FP,0,0,0,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,DSS,FP,0,0,0,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,DSA,FP,0,0,0,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,DSS,FP,0,0,7,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,ISA,FP,0,0,0,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,ISS,FP,0,0,0,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,OSA,FP,0,0,0,0
GDR,01/26/2018,GD02180126,Fri,SGSIN-SGSIN,OSS,FP,0,0,0,0
GDR,01/28/2018,GD02180128,Sun,SGSIN-MYPEN,BDA,FP,0,0,1,0
